Rank,Event,Surfer,Points,Participant_rounds,Injured_rounds,Date
1,3,John John Florence,23000,3,0,11/05/2017
2,3,Jordy Smith,19200,3,0,11/05/2017
3,3,Owen Wright,19200,3,0,11/05/2017
4,3,Adriano de Souza,14400,3,0,11/05/2017
5,3,Kolohe Andino,13750,3,0,11/05/2017
6,3,Filipe Toledo,12200,3,0,11/05/2017
7,3,Caio Ibelli,11500,3,0,11/05/2017
8,3,Joel Parkinson,10950,3,0,11/05/2017
9,3,Matt Wilkinson,10250,3,0,11/05/2017
10,3,Sebastian Zietz,9750,3,0,11/05/2017
11,3,Gabriel Medina,8750,3,0,11/05/2017
12,3,Ezekiel Lau,8750,3,0,11/05/2017
13,3,Kelly Slater,8700,3,0,11/05/2017
14,3,Connor O'Leary,8700,3,0,11/05/2017
15,3,Conner Coffin,8500,3,0,11/05/2017
16,3,Julian Wilson,7500,3,0,11/05/2017
17,3,Jeremy Flores,7500,3,0,11/05/2017
18,3,Jack Freestone,7500,3,0,11/05/2017
19,3,Michel Bourez,7450,3,0,11/05/2017
20,3,Mick Fanning,7450,3,0,11/05/2017
21,3,Frederico Morais,7450,3,0,11/05/2017
22,3,Italo Ferreira,6200,1,2,11/05/2017
23,3,Wiggolly Dantas,5000,3,0,11/05/2017
24,3,Adrian Buchan,4000,3,0,11/05/2017
25,3,Miguel Pupo,4000,3,0,11/05/2017
26,3,Bede Durbidge,4000,3,0,11/05/2017
27,3,Ian Gouveia,4000,3,0,11/05/2017
28,3,Nat Young,4000,3,0,11/05/2017
29,3,Stuart Kennedy,2750,3,0,11/05/2017
30,3,Kanoa Igarashi,2750,3,0,11/05/2017
31,3,Joan Duru,2750,3,0,11/05/2017
32,3,Jadson Andre,2750,3,0,11/05/2017
33,3,Jesse Mendes,1750,1,0,11/05/2017
34,3,Jacob Willcox,1750,1,0,11/05/2017
35,3,Mikey Wright,1750,1,0,11/05/2017
36,3,Josh Kerr,1500,3,0,11/05/2017
37,3,Ethan Ewing,1500,3,0,11/05/2017
38,3,Leonardo Fioravanti,1500,3,0,11/05/2017
39,3,Samuel Pupo,500,1,0,11/05/2017
40,3,Glyndyn Ringrose,500,1,0,11/05/2017
